date,open,high,low,close,volume
2025-11-03 09:15:00+05:30,57726.85,57849.0,57718.4,57790.65,0
2025-11-03 09:16:00+05:30,57795.1,57817.95,57754.05,57787.9,0
2025-11-03 09:17:00+05:30,57788.6,57810.25,57775.1,57786.25,0
2025-11-03 09:18:00+05:30,57785.05,57818.2,57775.95,57795.25,0
2025-11-03 09:19:00+05:30,57796.95,57858.75,57796.9,57857.6,0
2025-11-03 09:20:00+05:30,57855.7,57901.0,57851.45,57898.6,0
2025-11-03 09:21:00+05:30,57901.65,57924.55,57876.45,57885.9,0
2025-11-03 09:22:00+05:30,57886.45,57922.9,57874.7,57875.75,0
2025-11-03 09:23:00+05:30,57869.55,57899.65,57866.85,57870.7,0
2025-11-03 09:24:00+05:30,57868.7,57891.1,57855.95,57863.9,0
2025-11-03 09:25:00+05:30,57874.2,57892.6,57856.35,57859.2,0
2025-11-03 09:26:00+05:30,57858.75,57860.8,57817.3,57824.9,0
2025-11-03 09:27:00+05:30,57822.85,57857.3,57818.4,57832.4,0
2025-11-03 09:28:00+05:30,57834.8,57857.45,57830.05,57838.55,0
2025-11-03 09:29:00+05:30,57836.4,57842.9,57810.85,57824.05,0
2025-11-03 09:30:00+05:30,57817.1,57819.75,57772.95,57792.0,0
2025-11-03 09:31:00+05:30,57795.75,57803.35,57769.95,57773.9,0
2025-11-03 09:32:00+05:30,57774.3,57787.05,57751.15,57751.15,0
2025-11-03 09:33:00+05:30,57757.2,57770.75,57742.6,57751.85,0
2025-11-03 09:34:00+05:30,57747.8,57786.65,57730.2,57772.85,0
2025-11-03 09:35:00+05:30,57777.0,57788.7,57764.9,57782.2,0
2025-11-03 09:36:00+05:30,57777.3,57835.9,57777.1,57826.7,0
2025-11-03 09:37:00+05:30,57827.25,57827.25,57781.9,57795.65,0
2025-11-03 09:38:00+05:30,57797.35,57819.2,57789.95,57813.75,0
2025-11-03 09:39:00+05:30,57813.8,57908.55,57807.9,57904.45,0
2025-11-03 09:40:00+05:30,57900.45,57940.25,57900.45,57923.85,0
2025-11-03 09:41:00+05:30,57926.75,57947.35,57920.85,57933.65,0
2025-11-03 09:42:00+05:30,57935.95,57944.65,57920.65,57926.55,0
2025-11-03 09:43:00+05:30,57934.05,57957.3,57934.05,57950.45,0
2025-11-03 09:44:00+05:30,57948.7,57986.8,57948.5,57981.4,0
2025-11-03 09:45:00+05:30,57980.2,58009.35,57975.2,58000.55,0
2025-11-03 09:46:00+05:30,58002.8,58004.95,57979.7,57984.95,0
2025-11-03 09:47:00+05:30,57983.8,58034.85,57982.1,58028.4,0
2025-11-03 09:48:00+05:30,58029.25,58053.7,58024.15,58039.05,0
2025-11-03 09:49:00+05:30,58036.6,58064.75,58034.0,58044.4,0
2025-11-03 09:50:00+05:30,58042.75,58045.2,58006.4,58013.85,0
2025-11-03 09:51:00+05:30,58014.4,58016.55,57969.8,57969.8,0
2025-11-03 09:52:00+05:30,57969.95,57994.15,57961.9,57985.95,0
2025-11-03 09:53:00+05:30,57984.85,57993.9,57971.65,57981.95,0
2025-11-03 09:54:00+05:30,57979.8,57988.75,57965.85,57985.8,0
2025-11-03 09:55:00+05:30,57978.6,58021.15,57978.6,58005.1,0
2025-11-03 09:56:00+05:30,58004.35,58008.6,57984.0,57991.85,0
2025-11-03 09:57:00+05:30,57990.1,57994.05,57970.0,57983.1,0
