date,equity,regime
2024-01-03,500000.0,CAUTION
2024-01-04,500000.0,MEAN_REVERSION
2024-01-05,500000.0,TREND
2024-01-10,500000.0,CAUTION
2024-01-11,500000.0,MEAN_REVERSION
2024-01-12,500000.0,TREND
2024-01-18,500000.0,MEAN_REVERSION
2024-01-19,500000.0,MEAN_REVERSION
2024-01-23,500000.0,CAUTION
2024-01-24,500000.0,CAUTION
2024-01-25,500000.0,CAUTION
2024-01-31,500000.0,CAUTION
2024-02-01,500000.0,TREND
2024-02-02,500000.0,CAUTION
2024-02-07,500000.0,CAUTION
2024-02-08,500000.0,CAUTION
2024-02-09,500000.0,CAUTION
2024-02-14,500000.0,CAUTION
2024-02-15,500000.0,CAUTION
2024-02-16,500000.0,CAUTION
2024-02-21,500000.0,CAUTION
2024-02-22,500000.0,CAUTION
2024-02-23,500000.0,CAUTION
2024-02-28,500000.0,CHAOS
2024-02-29,500000.0,CHAOS
2024-03-01,500000.0,CAUTION
2024-03-05,500000.0,MEAN_REVERSION
2024-03-06,500000.0,TREND
2024-03-07,500000.0,MEAN_REVERSION
2024-03-13,500000.0,TREND
2024-03-14,500000.0,MEAN_REVERSION
2024-03-15,500000.0,MEAN_REVERSION
2024-03-20,500000.0,MEAN_REVERSION
2024-03-21,500000.0,MEAN_REVERSION
2024-03-22,500000.0,TREND
2024-03-26,500000.0,TREND
2024-03-27,500000.0,CAUTION
2024-03-28,500000.0,CAUTION
2024-04-03,500000.0,MEAN_REVERSION
2024-04-04,500000.0,MEAN_REVERSION
2024-04-05,500000.0,MEAN_REVERSION
2024-04-09,500000.0,MEAN_REVERSION
2024-04-10,500000.0,MEAN_REVERSION
2024-04-12,500000.0,TREND
2024-04-16,500000.0,TREND
2024-04-18,500000.0,TREND
2024-04-19,500000.0,TREND
2024-04-24,500000.0,CAUTION
2024-04-25,500000.0,TREND
2024-04-26,500000.0,TREND
2024-04-30,500000.0,CAUTION
2024-05-02,500000.0,MEAN_REVERSION
2024-05-03,500000.0,MEAN_REVERSION
2024-05-08,500000.0,CAUTION
2024-05-09,500000.0,CAUTION
2024-05-10,500000.0,CAUTION
2024-05-16,500000.0,CHAOS
2024-05-17,500000.0,CAUTION
2024-05-22,500000.0,CHAOS
2024-05-23,500000.0,CAUTION
2024-05-24,500000.0,CAUTION
2024-05-29,500000.0,CAUTION
2024-05-30,500000.0,CAUTION
2024-05-31,500000.0,CAUTION
2024-06-05,500000.0,MEAN_REVERSION
2024-06-06,500000.0,MEAN_REVERSION
2024-06-07,500000.0,MEAN_REVERSION
2024-06-12,500000.0,TREND
2024-06-13,500000.0,RANGE_BOUND
2024-06-14,500000.0,MEAN_REVERSION
2024-06-19,500000.0,TREND
2024-06-20,500000.0,RANGE_BOUND
2024-06-21,500000.0,MEAN_REVERSION
2024-06-26,500000.0,TREND
2024-06-27,500000.0,CAUTION
2024-06-28,500000.0,CAUTION
